Frequency (Hz),Cap+Bypass Magnitude (dB),Bypass Only Magnitude (dB),GndWOffset Magnitude (dB)
515.0000000000005,7.088290947524365,7.070023876655863,20.45124574391433
547.4315474651648,7.109764400604444,7.016180645305531,20.44472264362023
581.9054352623386,7.124375534286909,7.060832179483175,20.44927975984799
618.5502774835961,7.106268424432194,7.054969693108728,20.44886964107807
657.5027875492253,7.101970895049874,7.07175103408344,20.45236348984698
698.9082882538477,7.120826025876421,7.044706948789674,20.4590696219861
742.9212539321027,7.1363399907073,7.025459070090329,20.45269775014216
789.7058867666229,7.183459007815748,7.050291954192075,20.44978482208909
839.4367293883538,7.12879001334291,7.039044720087259,20.46031997149023
892.2993160546851,7.137352473820894,7.043912759746032,20.4610611623371
948.4908648348027,7.174048463706223,7.054874910837863,20.47121290039665
1008.221013384636,7.17931255596485,7.074044876721135,20.46386024813176
1071.712601056401,7.230243263700369,7.06043967609517,20.45875639351061
1139.202500260625,7.229054708721568,7.053209699053045,20.47034929370669
1210.942500182249,7.263069284525974,7.061286039061219,20.46602364917248
1287.200246147773,7.246371251950425,7.065463069997354,20.46644850333521
1368.260238147991,7.308327575326627,7.085526192398691,20.47030252947151
1454.424892241569,7.342424128548744,7.055484166692624,20.46849283906407
1546.015668799333,7.363143392564719,7.094916699190334,20.49100768394781
1643.374271798465,7.413245211320458,7.097218349380716,20.47561927623781
1746.863923640913,7.49708332272549,7.079627423905039,20.48178515797233
1856.870720252065,7.544437874006533,7.089915992044665,20.49141219930569
1973.805071515227,7.603584960288675,7.076327791758686,20.49722289169241
2098.103232415862,7.592461110338943,7.08584375428483,20.50778468850867
2230.228930607917,7.676380361952991,7.123066623045485,20.50567936126271
2370.675096474309,7.768465802040886,7.112009458948133,20.50308676275733
2519.965702136036,7.880839486127042,7.145097270031488,20.5336519744646
2678.657716270812,7.950854179577586,7.124847927086265,20.5200497415734
2847.343182034239,8.075385190622983,7.138198843079454,20.51794681700183
3026.651425835706,8.181153164941005,7.083327770133907,20.53122105059447
3217.251405209484,8.324709468206429,7.163356305557239,20.53680171542402
3419.854204540389,8.441341859198134,7.151755811129027,20.54748099228413
3635.215687954939,8.596533654602469,7.142964550276591,20.56106194994186
3864.139319275363,8.750553484636209,7.209418485549054,20.59396902570431
4107.479159557084,8.930908695592404,7.204884871858408,20.56668645434673
4366.143053392712,9.080945855180341,7.158455146720176,20.59008291614384
4641.096015869995,9.316560396830164,7.21526335464643,20.58752678349839
4933.36383281965,9.538987976643945,7.236890303982929,20.60405165010861
5244.036887784722,9.760672487168859,7.221744663302344,20.62311101658547
5574.27422998911,9.987170455387725,7.222690557693287,20.62219385838894
5925.30789848179,10.25501035419397,7.205803912752185,20.62383009260883
6298.447518589218,10.50318851489613,7.212903335767667,20.63239358461184
6695.085187824115,10.75321147251503,7.256330971491284,20.61257488233029
7116.700669478934,11.04237027512827,7.265864589101964,20.65031265885797
7564.866913280046,11.33350199912512,7.215234958314618,20.6546154798168
8041.255923698858,11.62834158353952,7.286573710402903,20.63209286407906
8547.644997813359,11.94248028596451,7.251987127842324,20.67090345545625
9085.923355991918,12.26773831857807,7.24165465509973,20.64792165154323
9658.099190136958,12.59570942539909,7.254973223572585,20.66338367231735
10266.30715578392,12.9015565535344,7.295169782892724,20.67320587629883
10912.81633600675,13.23648049683059,7.261407345661742,20.66450766390412
11600.03870684137,13.52993676792186,7.269929319450136,20.67055728133937
12330.53813580963,13.88661002829101,7.286680363874662,20.66506737059456
13107.0399471155,14.18167486733841,7.294433327263538,20.66165067368085
13932.44108919837,14.5057225523462,7.230320263897915,20.65955966027668
14809.8209425769,14.81328595998187,7.312862582277932,20.65939306118052
15742.45280830458,15.13589995093056,7.244277675759295,20.64268156631129
16733.81611989806,15.43623843025516,7.264159609086866,20.62945482890095
17787.60942429765,15.73498270816372,7.246236515857377,20.63931450223123
18907.7641802897,16.00082087769012,7.283720786046322,20.64420004998095
20098.45942586872,16.28189586459417,7.243256194085276,20.65618545072561
21364.13736926045,16.5436526948458,7.221080713607005,20.61011146978711
22709.519961772,16.81133541047753,7.22672887303297,20.64767361142455
24139.62651429878,17.0396304681606,7.253962459477852,20.63143148023082
25659.79242321107,17.24822649879943,7.256001170427298,20.63489326027737
27275.68907548215,17.48087237098892,7.246626675578588,20.63414958356459
28993.3450073201,17.66271028826797,7.235721163407394,20.64591674705384
30819.16839524007,17.85663005788441,7.282805366781001,20.59701033275559
32759.9709634869,18.03224086549246,7.256089016424768,20.66179530262738
34822.9933970009,18.18906238299395,7.250743109263481,20.63232112728024
37015.93235473669,18.35728960108029,7.221131453594515,20.62593442909738
39346.96918411525,18.46483192468901,7.277036099523127,20.63622285882224
41824.80044373649,18.57867304181216,7.14347862516569,20.63650535526465
44458.67034822594,18.70161332110101,7.266396652140244,20.64033505744733
47258.40525625813,18.84254414213128,7.185011932044112,20.63022347319994
50234.45033042567,18.92333591397874,7.244683535346836,20.61246648582399
53397.90850572204,18.99139545580978,7.153927952685402,20.61371998654304
56760.58191202063,19.07311776976668,7.19353785237846,20.62877290850886
60335.01590508867,19.1401713410814,7.297046214519357,20.65617383046997
64134.5458704038,19.24427527338305,7.240258239868961,20.64474230563051
68173.34697438973,19.2801539574501,7.219111017567519,20.64378724043267
72466.48704867908,19.31546215061254,7.257669102559149,20.67703770481836
77029.98280470412,19.38136860405532,7.286312676544725,20.64016496401839
81880.85958833821,19.42365270498808,7.338126986355359,20.65850735190201
87037.21489751805,19.46660359353017,7.283869221537888,20.6642626507745
92518.28589981806,19.49624461328612,7.215416932971772,20.65943991914243
98344.52120186774,19.49037971768205,7.194389603989963,20.64144249378607
104537.657138367,19.54576282969165,7.361114704416041,20.63141397925554
111120.7988653185,19.55559470869419,7.284024447712126,20.67421776148909
118118.5065600128,19.62892491543412,7.187921694390532,20.66713450834475
125556.8870493629,19.60375781579413,7.282093745634038,20.64156032928706
133463.6912084302,19.64159337226498,7.28366357261569,20.66804161435097
141868.417492512,19.64785090290143,7.278710045965695,20.66376453069298
150802.4219890482,19.65327974024153,7.205796957871184,20.63929265907884
160299.0353999211,19.67498040100125,7.313409465866451,20.65265654271358
170393.6873905861,19.65865707458534,7.178611418659173,20.63605095639367
181124.0387699495,19.66201146058444,7.254651499113065,20.65956331497789
192530.1219941238,19.6660318883175,7.253411117467495,20.61120510592128
204654.4905182524,19.68272560424611,7.303313355585768,20.61263474280278
217542.3775535955,19.68821229847772,7.417575922500836,20.61255785893261
231241.8648221664,19.67989490904004,7.127323630905239,20.57725889786794
245804.0619385025,19.69657964004052,7.30385707120507,20.58657208411939
261283.297087801,19.62932738201295,7.146407967119526,20.55076824081542
277737.3197117961,19.66839252477137,7.33574996683656,20.57275219261744
295227.5159585544,19.66271572386371,7.096111907881757,20.59542264200054
313819.1376999763,19.6292193825317,7.187234076366755,20.57200903174474
333581.5459714203,19.58091875609437,7.061675301562257,20.57868390557001
354588.469741663,19.5976913515826,7.05005592974149,20.5330247350197
376918.2809786075,19.61932939178993,7.25873439199736,20.50891759275094
400654.2870369488,19.59183187400551,7.120083938408132,20.49522039777317
425885.041458619,19.55593758034229,7.094212954805842,20.433667246136
452704.6743455481,19.54244322601873,7.107740995410818,20.46524036062539
481213.2435372751,19.51730658816856,6.987493502595385,20.44842338670133
511517.1079035752,19.50356224541149,7.097000499654188,20.39995318714012
543729.3241447756,19.47018060375402,6.981366360018601,20.38310990669326
577970.0685801212,19.42127320429493,6.955577646107765,20.36950369402815
614367.0854977912,19.42875199751489,6.9042049839513,20.3440370689757
653056.1637392595,19.35047618451576,6.854769206575294,20.30652927055372
